FileName	Bacteria	Vertebrata	Eukaryota	Unassigned	Total	
Adipose Tissue control	127	6039449	6145923	1075236	7221598	
AT+Mock-1:50-1	76885	6087979	6191169	1089136	7357483	
AT+Mock-1:50-2	127	1651	1690	567	2386	
AT+Mock-1:50-3	59921	4748816	4829648	848824	5738644	
AT+Mock-1:50-4	97643	7467532	7596382	1348606	9042848	
AT+Mock-1:50	71909	5808084	5905576	1047927	7025726	
AT+Mock-1:100	29090	5563984	5656933	1004076	6690420	
AT+Mock-1:1000	3157	5729614	5826259	1025089	6854827	
AT+Mock-1:10000	417	6654772	6767112	1188779	7956651	
AT+Mock-1:100000	119	5138945	5144808	928690	6153951	
AT+Mock-1:1000000	130	7171869	7298313	1285759	8579575	
Hepatology-High-1	89	6446549	6591598	1186803	7778685	
Hepatology-High-2	167	8555405	8747305	1578313	10326008	
Hepatology-Low-1	120	8466946	8635779	1563808	10199982	
Hepatology-Low-2	61	6165626	6282681	1135835	7418719	
patient-1-AT	90	6597722	6735613	1182067	7918103	
patient-1-blood	111	4608597	4704136	845995	5550378	
patient-1-stool	1520125	1890	1950	1242108	2764531	
patient-2-AT	0	402	409	73	482	
patient-2-blood	99	10782469	10987302	1946771	12934491	
patient-2-stool	1220620	54241	55487	1252360	2530825	
