Node_Name	Adipose_Tissue_Control.rma6	AT+Mock-1:1000000.rma6	AT+Mock-1:100000.rma6	AT+Mock-1:10000.rma6	AT+Mock-1:1000.rma6	AT+Mock-1:100.rma6	AT+Mock-1:50-1.rma6	AT+Mock-1:50-2.rma6	AT+Mock-1:50-3.rma6	AT+Mock-1:50-4.rma6	AT+Mock-1:50.rma6	Hepatology-High-1.rma6	Hepatology-High-2.rma6	Hepatology-Low-1.rma6	Hepatology-Low-2.rma6	patient-1-AT.rma6	patient-1-blood.rma6	patient-1-stool.rma6	patient-2-AT.rma6	patient-2-blood.rma6	patient-2-stool.rma6
Total_Count	7221598	8579575	6153951	7956651	6854827	6690420	7357483	2386	5738644	9042848	7025726	7778685	10326008	10199982	7418719	7918103	5550378	2764531	482	12934491	2530825
Acetoanaerobium_sticklandii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4
Acetobacterium_woodii_DSM_1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acetohalobium_arabaticum_DSM_5501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acetomicrobium_mobile_DSM_13181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acholeplasma_brassicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acholeplasma_oculi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acholeplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	552
Acidaminococcus_fermentans_DSM_20731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	1439
Acidaminococcus_intestini_RyC-MR95	0	0	3	2	2	3	1	23	1	1	4	1	1	0	3	0	1	52	0	3	304961
Acidihalobacter_prosperus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acidothermus_cellulolyticus_11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acidovorax	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax_citrulli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acinetobacter	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter_baumannii	3	1	1	5	5	47	146	0	126	159	141	3	3	5	6	2	1	0	0	6	0
Acinetobacter_baumannii_ATCC_17978	0	0	0	0	0	4	22	0	9	20	13	0	0	0	0	0	0	0	0	0	0
Acinetobacter_calcoaceticus/baumannii_complex	0	0	0	0	0	0	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Actinoalloteichus_sp._ADI127-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
