Taxon	Reference	0	1	2	3	4	5	6	7	8	9	10	higher
African_swine_fever_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus	Bacillus_cereus_R309803	5586177	76	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_R309803	Bacillus_cereus_R309803	5586025	0	0	228	0	0	0	0	0	0	0	0
Bacillus_cereus_group	Bacillus_thuringiensis_serovar_kurstaki_str._YBT-1520	5607381	85	170	201	0	0	0	0	0	0	0	0
Bacillus_thuringiensis	Bacillus_thuringiensis	25454	75	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella	Bordetella_flabilis	5835502	1	8	216	0	0	0	0	0	0	0	0
Bordetella_avium_197N	Bordetella_avium_197N	3732036	0	0	219	0	0	0	0	0	0	0	0
Bordetella_genomosp._13	Bordetella_genomosp._13	5380853	76	0	0	0	0	0	0	0	0	0	0
Bordetella_holmesii	Bordetella_holmesii_ATCC_51541	3699622	52	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis	Bordetella_bronchiseptica_MO149	5091741	76	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	5287874	76	0	0	0	0	0	0	0	0	0	0
Borreliaceae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	Brucella_suis_VBI22	2108561	76	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_mallei	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	Clostridium	4099748	4034	4538	5574	3568	2680	1128	917	456	414	320	350
Clostridium_acetobutylicum	Clostridium_acetobutylicum_DSM_1731	3942387	75	0	0	0	0	0	0	0	0	0	0
Clostridium_bornimense	Clostridium_bornimense	2917560	160	144	0	0	0	0	0	0	0	0	0
Clostridium_botulinum	Clostridium_botulinum_A2_str._Kyoto	4155050	76	152	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_butyricum	Clostridium_butyricum	817425	8	22	9	12	5	66	14	536	27	30	2362
Clostridium_cochlearium	Clostridium_cochlearium	2372919	86	14	42	36	30	84	63	56	36	80	61973
Clostridium_formicaceticum	Clostridium_formicaceticum	4586679	76	0	0	0	0	0	0	0	0	0	0
Clostridium_kluyveri	Clostridium_kluyveri_DSM_555	3964543	75	0	0	0	0	0	0	0	0	0	0
Clostridium_perfringens	Clostridium_perfringens	3346511	228	0	0	0	0	0	0	0	0	0	0
