Taxon	Reference	AverageCoverage	Coverge_StandardDeviation	percCoveredHigher1	percCoveredHigher2	percCoveredHigher3	percCoveredHigher4	percCoveredHigher5
African_swine_fever_virus	NA	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0	0	0
Bacillus_cereus	Bacillus_cereus_R309803	0	0	0	0	0	0	0
Bacillus_cereus_R309803	Bacillus_cereus_R309803	0	0	0	0	0	0	0
Bacillus_cereus_group	Bacillus_thuringiensis_serovar_kurstaki_str._YBT-1520	0	0	0	0	0	0	0
Bacillus_thuringiensis	Bacillus_thuringiensis	0.003	0.006	0.003	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0
Bordetella	Bordetella_flabilis	0	0	0	0	0	0	0
Bordetella_avium_197N	Bordetella_avium_197N	0	0	0	0	0	0	0
Bordetella_genomosp._13	Bordetella_genomosp._13	0	0	0	0	0	0	0
Bordetella_holmesii	Bordetella_holmesii_ATCC_51541	0	0	0	0	0	0	0
Bordetella_pertussis	Bordetella_bronchiseptica_MO149	0	0	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	0	0	0	0	0	0	0
Borreliaceae	NA	0	0	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0	0	0
Brucella	Brucella_suis_VBI22	0	0	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0	0	0
Burkholderia_cepacia	NA	0	0	0	0	0	0	0
Burkholderia_mallei	NA	0	0	0	0	0	0	0
Burkholderia_pseudomallei	NA	0	0	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0	0	0
Clostridium	Clostridium	0.006	0.026	0.002	0.001	0.001	0	0
Clostridium_acetobutylicum	Clostridium_acetobutylicum_DSM_1731	0	0	0	0	0	0	0
Clostridium_bornimense	Clostridium_bornimense	0	0	0	0	0	0	0
Clostridium_botulinum	Clostridium_botulinum_A2_str._Kyoto	0	0	0	0	0	0	0
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0	0	0
Clostridium_butyricum	Clostridium_butyricum	0.004	0.078	0	0	0	0	0
Clostridium_cochlearium	Clostridium_cochlearium	0.026	1.513	0.001	0.001	0.001	0.001	0.001
Clostridium_formicaceticum	Clostridium_formicaceticum	0	0	0	0	0	0	0
Clostridium_kluyveri	Clostridium_kluyveri_DSM_555	0	0	0	0	0	0	0
Clostridium_perfringens	Clostridium_perfringens	0	0	0	0	0	0	0
Clostridium_perfringens_F262	Clostridium_perfringens_SM101	0	0	0	0	0	0	0
Clostridium_sp._SY8519	Clostridium_sp._SY8519	0.01	0.039	0.005	0.003	0.001	0.001	0
Clostridium_sporogenes	NA	0	0	0	0	0	0	0
Clostridium_tetani	NA	0	0	0	0	0	0	0
Clostridium_tetani_12124569	Clostridium_tetani_12124569	0	0.001	0	0	0	0	0
Clostridium_tetani_E88	NA	0	0	0	0	0	0	0
Clostridium_tyrobutyricum	Clostridium_tyrobutyricum	0	0	0	0	0	0	0
Coccidioides_immitis	NA	0	0	0	0	0	0	0
Coccidioides_posadasii	NA	0	0	0	0	0	0	0
Corynebacterium_diphtheriae	NA	0	0	0	0	0	0	0
Corynebacterium_diphtheriae_HC02	Corynebacterium_diphtheriae_HC02	0	0.001	0	0	0	0	0
Cowpox-Vaccinia_virus	NA	0	0	0	0	0	0	0
Cowpox_virus	NA	0	0	0	0	0	0	0
Coxiella_burnetii	NA	0	0	0	0	0	0	0
Cryptococcus_neoformans	NA	0	0	0	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_A4	NA	0	0	0	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	NA	0	0	0	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	NA	0	0	0	0	0	0	0
Enterobius_vermicularis	Enterobius_vermicularis	0.056	0.159	0.028	0.028	0	0	0
Epstein-barr_virus_strain_ag876	NA	0	0	0	0	0	0	0
Epstein-barr_virus_strain_p3hr-1	NA	0	0	0	0	0	0	0
Escherichia_coli	Escherichia_coli_O7:K1_str._CE10	0.001	0.003	0.001	0	0	0	0
Escherichia_coli_IAI39	Escherichia_coli_IAI39	0	0	0	0	0	0	0
Escherichia_coli_O111	NA	0	0	0	0	0	0	0
Escherichia_coli_O157:H7	NA	0	0	0	0	0	0	0
Escherichia_coli_O26	NA	0	0	0	0	0	0	0
Escherichia_coli_VR50	Escherichia_coli_VR50	0	0	0	0	0	0	0
Fusobacterium	NA	0	0	0	0	0	0	0
Fusobacterium_hwasookii	Fusobacterium_hwasookii_ChDC_F206	0	0	0	0	0	0	0
Fusobacterium_nucleatum	NA	0	0	0	0	0	0	0
Haemophilus_influenzae	Haemophilus_influenzae	0	0.001	0	0	0	0	0
Haemophilus_influenzae_10810	Haemophilus_influenzae_10810	0	0	0	0	0	0	0
Haemophilus_influenzae_2019	Haemophilus_influenzae_2019	0	0	0	0	0	0	0
Haemophilus_influenzae_CGSHiCZ412602	Haemophilus_influenzae_CGSHiCZ412602	0	0	0	0	0	0	0
Haemophilus_influenzae_KR494	Haemophilus_influenzae_KR494	0	0	0	0	0	0	0
Haemophilus_influenzae_PittGG	Haemophilus_influenzae_PittGG	0	0	0	0	0	0	0
Haemophilus_influenzae_Rd_KW20	NA	0	0	0	0	0	0	0
Helicobacter_pylori	NA	0	0	0	0	0	0	0
Hepatitis_B_virus	NA	0	0	0	0	0	0	0
Hepatitis_E_virus	NA	0	0	0	0	0	0	0
Hepatitis_delta_virus	NA	0	0	0	0	0	0	0
Herpes_simplex_virus_unknown_type	NA	0	0	0	0	0	0	0
