Taxon	Mean	GeometricMean	Median	StandardDev
African_swine_fever_virus	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Aspergillus_fumigatus_Af293	75.0	74.99999999999997	75.0	0.0
BK_virus_strain_AS	0	0	0	0
BK_virus_strain_GS	0	0	0	0
BK_virus_variant_RF	0	0	0	0
Bacillus_anthracis	0	0	0	0
Bacillus_cereus	75.409200968523	75.35963776431201	76.0	2.4632468491019543
Bacillus_cereus_AH676	NaN	NaN	NaN	NaN
Bacillus_cereus_ATCC_10987	75.11009174311927	75.06495058881684	76.0	2.5031071415094566
Bacillus_cereus_F	76.0	76.0	76.0	0.0
Bacillus_cereus_FRI-35	62.0	62.00000000000001	62.0	0.0
Bacillus_cereus_group	75.32768361581921	75.28582037778392	76.0	2.329399979172462
Bacillus_cereus_m1293	NaN	NaN	NaN	NaN
Bacillus_thuringiensis	75.5	75.49834435270749	75.5	0.7071067811865476
Bacillus_thuringiensis_DAR_81934	74.33333333333333	74.3229131811596	74.0	1.5275252316519468
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	NaN	NaN	NaN	NaN
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Blastomyces_dermatitidis_ER-3	69.7	68.51530508704613	75.5	12.266032592307733
Bordetella	0	0	0	0
Bordetella_pertussis	0	0	0	0
Bordetella_petrii	0	0	0	0
Borrelia_duttonii_Ly	76.0	76.0	76.0	0.0
Borreliaceae	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Brucella	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	0	0	0	0
Burkholderia_mallei	0	0	0	0
Burkholderia_pseudomallei	0	0	0	0
Burkholderia_pseudomallei_1710a	73.66666666666667	73.59112211756845	76.0	4.041451884327381
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Clostridium	72.9090909090909	72.70581842440598	76.0	5.521857395017467
Clostridium_argentinense	76.0	76.0	76.0	0.0
Clostridium_beijerinckii	75.46979865771812	75.4482734038659	76.0	1.7293545904157808
Clostridium_beijerinckii_NCIMB_8052	75.62450592885375	75.61313320311753	76.0	1.236559588550477
Clostridium_beijerinckii_NRRL_B-598	76.0	76.0	76.0	0.0
Clostridium_botulinum	0	0	0	0
Clostridium_botulinum_BKT015925	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0
Clostridium_cochlearium	48.0	48.00000000000001	48.0	0.0
Clostridium_sporogenes	0	0	0	0
Clostridium_tetani	0	0	0	0
Clostridium_tetani_E88	0	0	0	0
Coccidioides_immitis	0	0	0	0
Coccidioides_immitis_RS	75.0	74.99999999999997	75.0	0.0
Coccidioides_posadasii	0	0	0	0
Coccidioides_posadasii_C735_delta_SOWgp	69.0	69.00000000000001	69.0	0.0
Corynebacterium_diphtheriae	0	0	0	0
Cowpox-Vaccinia_virus	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Cryptococcus_neoformans	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_A4	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0	0	0	0
Enterobius_vermicularis	74.87056061050778	74.80994423745119	76.0	2.7890144590410944
Epstein-barr_virus_strain_ag876	0	0	0	0
Epstein-barr_virus_strain_p3hr-1	0	0	0	0
Escherichia_coli	74.97639870612197	74.86146884599444	76.0	3.7090176208279577
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O127:H6	76.0	76.0	76.0	0.0
Escherichia_coli_O157:H7	76.0	76.0	76.0	0.0
Escherichia_coli_O26	0	0	0	0
Escherichia_coli_SMS-3-5	76.0	76.0	76.0	0.0
Fusobacterium	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0
Fusobacterium_nucleatum_subsp._nucleatum	NaN	NaN	NaN	NaN
Haemophilus_influenzae	0	0	0	0
Haemophilus_influenzae_Rd_KW20	0	0	0	0
Helicobacter_pylori	75.3160621761658	75.28233337093647	76.0	2.14539260108276
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Herpes_simplex_virus_unknown_type	0	0	0	0
Histoplasma_capsulatum	0	0	0	0
Histoplasma_capsulatum_NAm1	73.0	72.99999999999999	73.0	0.0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_11	0	0	0	0
Human_adenovirus_11+34	0	0	0	0
Human_adenovirus_11a	0	0	0	0
Human_adenovirus_11p	0	0	0	0
Human_adenovirus_12	0	0	0	0
Human_adenovirus_14	0	0	0	0
Human_adenovirus_14a	0	0	0	0
Human_adenovirus_14p	0	0	0	0
Human_adenovirus_14p1	0	0	0	0
Human_adenovirus_15	0	0	0	0
Human_adenovirus_15/H9	0	0	0	0
Human_adenovirus_16	0	0	0	0
Human_adenovirus_16p	0	0	0	0
Human_adenovirus_17	0	0	0	0
Human_adenovirus_18	0	0	0	0
Human_adenovirus_19	0	0	0	0
Human_adenovirus_19C	0	0	0	0
Human_adenovirus_19a	0	0	0	0
Human_adenovirus_19p	0	0	0	0
Human_adenovirus_1_strain_Adenoid_71	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_20	0	0	0	0
Human_adenovirus_21	0	0	0	0
Human_adenovirus_21a	0	0	0	0
Human_adenovirus_22	0	0	0	0
Human_adenovirus_22H8	0	0	0	0
Human_adenovirus_23	0	0	0	0
Human_adenovirus_24	0	0	0	0
Human_adenovirus_25	0	0	0	0
Human_adenovirus_26	0	0	0	0
Human_adenovirus_27	0	0	0	0
Human_adenovirus_28	0	0	0	0
Human_adenovirus_29	0	0	0	0
Human_adenovirus_3+11p	0	0	0	0
Human_adenovirus_3+7	0	0	0	0
Human_adenovirus_30	0	0	0	0
Human_adenovirus_31	0	0	0	0
Human_adenovirus_32	0	0	0	0
Human_adenovirus_33	0	0	0	0
Human_adenovirus_34	0	0	0	0
Human_adenovirus_34a	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_35+11	0	0	0	0
Human_adenovirus_36	0	0	0	0
Human_adenovirus_38	0	0	0	0
Human_adenovirus_38H44	0	0	0	0
Human_adenovirus_39	0	0	0	0
Human_adenovirus_3p	0	0	0	0
Human_adenovirus_40	0	0	0	0
Human_adenovirus_41	0	0	0	0
Human_adenovirus_41_Wisconsin	0	0	0	0
Human_adenovirus_42	0	0	0	0
Human_adenovirus_43	0	0	0	0
Human_adenovirus_44	0	0	0	0
Human_adenovirus_45	0	0	0	0
Human_adenovirus_46	0	0	0	0
Human_adenovirus_47	0	0	0	0
Human_adenovirus_48	0	0	0	0
Human_adenovirus_49	0	0	0	0
Human_adenovirus_4a	0	0	0	0
Human_adenovirus_5	0	0	0	0
Human_adenovirus_50	0	0	0	0
Human_adenovirus_50_prototype_strain_Wan	0	0	0	0
Human_adenovirus_51	0	0	0	0
Human_adenovirus_52	0	0	0	0
Human_adenovirus_53	0	0	0	0
Human_adenovirus_54	0	0	0	0
Human_adenovirus_55	0	0	0	0
Human_adenovirus_56	0	0	0	0
Human_adenovirus_57	0	0	0	0
Human_adenovirus_58	0	0	0	0
Human_adenovirus_59_MSJ-2011	0	0	0	0
Human_adenovirus_6	0	0	0	0
Human_adenovirus_60a	0	0	0	0
Human_adenovirus_61	0	0	0	0
Human_adenovirus_62	0	0	0	0
Human_adenovirus_63	0	0	0	0
Human_adenovirus_64	0	0	0	0
Human_adenovirus_65	0	0	0	0
Human_adenovirus_66	0	0	0	0
Human_adenovirus_67	0	0	0	0
Human_adenovirus_68	0	0	0	0
Human_adenovirus_69	0	0	0	0
Human_adenovirus_7	0	0	0	0
Human_adenovirus_71	0	0	0	0
Human_adenovirus_7428	0	0	0	0
Human_adenovirus_7620	0	0	0	0
Human_adenovirus_7961	0	0	0	0
Human_adenovirus_7a	0	0	0	0
Human_adenovirus_7d	0	0	0	0
Human_adenovirus_7d2	0	0	0	0
Human_adenovirus_7h	0	0	0	0
Human_adenovirus_7l	0	0	0	0
Human_adenovirus_7m	0	0	0	0
Human_adenovirus_7p	0	0	0	0
Human_adenovirus_8E	0	0	0	0
Human_adenovirus_9042	0	0	0	0
Human_adenovirus_9052	0	0	0	0
Human_adenovirus_9431	0	0	0	0
Human_adenovirus_A02-2B-2	0	0	0	0
Human_adenovirus_A03-2B-1	0	0	0	0
Human_adenovirus_ATCC_VR-1501	0	0	0	0
Human_adenovirus_ATCC_VR-1502	0	0	0	0
Human_adenovirus_AdV/Berlin	0	0	0	0
Human_adenovirus_AdV/Berlin003/02/DE	0	0	0	0
Human_adenovirus_AdV/Berlin004/02/DE	0	0	0	0
Human_adenovirus_AdV/Berlin131/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin524/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin604/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin619/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin643/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin682/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin718/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin749/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin769/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin859/01/DE	0	0	0	0
Human_adenovirus_B1	0	0	0	0
Human_adenovirus_B2	0	0	0	0
Human_adenovirus_B3	0	0	0	0
Human_adenovirus_Chiba_E086/2012	0	0	0	0
Human_adenovirus_D10	0	0	0	0
Human_adenovirus_D13	0	0	0	0
Human_adenovirus_D15H9	0	0	0	0
Human_adenovirus_D17H29	0	0	0	0
Human_adenovirus_D19H30	0	0	0	0
Human_adenovirus_D30H44	0	0	0	0
Human_adenovirus_D37	0	0	0	0
Human_adenovirus_D37H13	0	0	0	0
Human_adenovirus_D37H17	0	0	0	0
Human_adenovirus_D46H13	0	0	0	0
Human_adenovirus_D8	0	0	0	0
Human_adenovirus_D9	0	0	0	0
Human_adenovirus_E4	0	0	0	0
Human_adenovirus_H02-2B-2	0	0	0	0
Human_adenovirus_H02-2B-3	0	0	0	0
Human_adenovirus_H03-2B-1	0	0	0	0
Human_adenovirus_H08-2B-2	0	0	0	0
Human_adenovirus_I02-2B-2	0	0	0	0
Human_adenovirus_I05-2B-2	0	0	0	0
Human_adenovirus_LZY153B	0	0	0	0
Human_adenovirus_MKJ/Chennai/2010	0	0	0	0
Human_adenovirus_RKI-2797/04	0	0	0	0
Human_adenovirus_S02-2B-1	0	0	0	0
Human_adenovirus_S03-2B-1	0	0	0	0
Human_adenovirus_S03-2B-2	0	0	0	0
Human_adenovirus_S03-2B-3	0	0	0	0
Human_adenovirus_S05-2B-2	0	0	0	0
Human_adenovirus_S06-2B-3	0	0	0	0
Human_adenovirus_S07-2B-2	0	0	0	0
Human_adenovirus_S08-2B-3	0	0	0	0
Human_adenovirus_S10-1-6	0	0	0	0
Human_adenovirus_isolate_MY7/1	0	0	0	0
Human_adenovirus_isolate_MY8/1	0	0	0	0
Human_adenovirus_isolate_SGH2289	0	0	0	0
Human_adenovirus_isolate_SGH5253	0	0	0	0
Human_adenovirus_type_35p	0	0	0	0
Human_hepatitis_A_virus	0	0	0	0
JC_polyomavirus	0	0	0	0
JC_virus_x_BK_virus	0	0	0	0
Klebsiella_oxytoca	0	0	0	0
Klebsiella_pneumoniae	0	0	0	0
Klebsiella_pneumoniae_subsp._pneumoniae	70.0	70.00000000000003	70.0	0.0
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0	0	0	0
Legionella_pneumophila	0	0	0	0
Leptospira_alexanderi	0	0	0	0
Leptospira_alstonii	0	0	0	0
Leptospira_borgpetersenii	0	0	0	0
Leptospira_broomii	0	0	0	0
Leptospira_fainei	0	0	0	0
Leptospira_inadai	0	0	0	0
Leptospira_interrogans	0	0	0	0
Leptospira_kirschneri	0	0	0	0
Leptospira_kmetyi	0	0	0	0
Leptospira_licerasiae	0	0	0	0
Leptospira_noguchii	0	0	0	0
Leptospira_santarosai	0	0	0	0
Leptospira_weilii	0	0	0	0
Leptospira_wolffii	0	0	0	0
Methanobrevibacter_oralis	0	0	0	0
Moraxella_catarrhalis	0	0	0	0
Mycobacterium_avium	0	0	0	0
Mycobacterium_canettii	0	0	0	0
Mycobacterium_colombiense	0	0	0	0
Mycobacterium_intracellulare	0	0	0	0
Mycobacterium_kansasii	0	0	0	0
Mycobacterium_leprae	0	0	0	0
Mycobacterium_tuberculosis_complex	0	0	0	0
Mycoplasma_pneumoniae	0	0	0	0
Neisseria	74.83333333333333	74.75305878385419	76.0	3.4597249846912645
Neisseria_gonorrhoeae	76.0	76.0	76.0	0.0
Neisseria_meningitidis	74.6887417218543	74.51240656706558	76.0	4.579935123941631
Neisseria_meningitidis_LNP21362	76.0	76.0	76.0	0.0
Neisseria_meningitidis_MC58	NaN	NaN	NaN	NaN
Parvimonas_micra	0	0	0	0
Peptostreptococcus_anaerobius	0	0	0	0
Plasmodium_falciparum	0	0	0	0
Plasmodium_falciparum_3D7	60.5	59.194594347794954	60.5	17.67766952966369
Plasmodium_vivax	76.0	76.0	76.0	0.0
Plasmodium_vivax_Sal-1	75.12658227848101	75.00072705789735	76.0	3.8040703187425855
Pneumocystis_carinii	0	0	0	0
Pneumocystis_jirovecii	0	0	0	0
Porphyromonas_gingivalis	76.0	76.0	76.0	0.0
Porphyromonas_gingivalis_AJW4	59.0	59.000000000000014	59.0	0.0
Porphyromonas_gingivalis_W83	0	0	0	0
Rickettsia_africae	0	0	0	0
Rickettsia_akari	0	0	0	0
Rickettsia_conorii	0	0	0	0
Rickettsia_felis	0	0	0	0
Rickettsia_japonica	0	0	0	0
Rickettsia_prowazekii	0	0	0	0
Rickettsia_rickettsii	0	0	0	0
Rickettsia_sibirica	0	0	0	0
Rickettsia_typhi	0	0	0	0
Salmonella_enterica_subsp._enterica	NaN	NaN	NaN	NaN
Salmonella_typhimurium_TR7095	0	0	0	0
Schistosoma_mansoni	75.36254980079681	75.33471267737083	76.0	1.9718092890819732
Shigella_boydii	0	0	0	0
Shigella_dysenteriae	76.0	76.0	76.0	0.0
Shigella_flexneri	0	0	0	0
Shigella_sonnei	0	0	0	0
Staphylococcus_aureus	75.44645941278065	75.42446297747121	76.0	1.7378247869507533
Staphylococcus_aureus_subsp._aureus	69.0	68.64400920692204	69.0	9.899494936611665
Staphylococcus_aureus_subsp._aureus_ED98	NaN	NaN	NaN	NaN
Staphylococcus_aureus_subsp._aureus_USA300_TCH1516	75.0	74.99999999999997	75.0	0.0
Streptococcus	75.35915492957747	75.3315830810994	76.0	1.9618400296832905
Streptococcus_agalactiae	75.41189427312776	75.36147879492778	76.0	2.5020855631647705
Streptococcus_agalactiae_2603V/R	73.0	72.71581682000873	75.5	6.342099196813483
Streptococcus_gordonii	0	0	0	0
Streptococcus_gordonii_str._Challis_substr._CH1	0	0	0	0
Streptococcus_iniae	76.0	76.0	76.0	0.0
Streptococcus_intermedius	76.0	76.0	76.0	0.0
Streptococcus_mutans	75.33307372793354	75.28724665978821	76.0	2.4172445048816127
Streptococcus_mutans_LJ23	76.0	76.0	76.0	0.0
Streptococcus_mutans_NN2025	74.5	74.48489779814429	74.5	2.1213203435596424
Streptococcus_mutans_UA159	75.5	75.49498864701422	76.0	1.0
Streptococcus_mutans_UA159-FR	75.0	74.99333303701074	75.0	1.4142135623730951
Streptococcus_pneumoniae	74.71428571428571	74.68528730947324	76.0	2.2146697055682827
Streptococcus_pyogenes	76.0	76.0	76.0	0.0
Streptococcus_troglodytae	76.0	76.0	76.0	0.0
Taenia_solium	75.14285714285714	75.091110070024	76.0	2.702317710485456
