Node_Name	Adipose_Tissue_Control.merged.rma6	AT_Mock_1_1000000.merged.rma6	AT_Mock_1_100000.merged.rma6	AT_Mock_1_10000.merged.rma6	AT_Mock_1_1000.merged.rma6	AT_Mock_1_100.merged.rma6	AT_Mock_1_50_1.merged.rma6	AT_Mock_1_50_2.merged.rma6	AT_Mock_1_50_3.merged.rma6	AT_Mock_1_50_4.merged.rma6	AT_Mock_1_50.merged.rma6	Hepatology_High_1.merged.rma6	Hepatology_High_2.merged.rma6	Hepatology_Low_1.merged.rma6	Hepatology_Low_2.merged.rma6	patient_1_AT.merged.rma6	patient_1_blood.merged.rma6	patient_1_stool.merged.rma6	patient_2_AT.merged.rma6	patient_2_blood.merged.rma6	patient_2_stool.merged.rma6
Total_Count	1074389	1147065	1315296	2118184	3204741	3911372	4368128	2413	4604770	3994893	4245945	957082	1295849	1097736	1202473	213621	1311413	5638054	730916	1416853	7666994
'Dioscorea_oppositifolia'_yellows_phytoplasma	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
'Jeotgalibacillus_soli'_Chen_et_al._2010	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2
'Picris_hieracioides'_bushy_stunt_phytoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
'Sphingomonas_ginsengisoli'_Hoang_et_al._2012	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Aaaba_fossicollis	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abarenicola_pacifica	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abies_fabri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Abiotrophia	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia_defectiva_ATCC_49176	0	0	0	0	2	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0
Abiotrophia_sp._oral_clone_OH2A	0	0	0	3	4	4	3	0	3	5	2	0	0	0	0	0	0	1	0	0	0
Abolboda_macrostachya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acacia	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	2
Acanthamoeba	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0
Acanthamoeba_jacobsi	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthamoeba_lenticulata	13	6	8	2	3	1	11	0	4	7	4	3	3	4	6	1	11	0	7	6	0
Acanthamoeba_sp._L1629/99	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthamoeba_sp._PN15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acanthobdella_peledina	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthocardia_tuberculata	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthomysis_longicornis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Acanthotaenia_sp._KBD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthus_ebracteatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Acari	11	22	34	5	8	2	2	0	4	2	1	8	10	10	12	2	44	0	9	18	0
Acariformes	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
Acaudina_molpadioides	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Acaulospora_lacunosa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acerentomidae	2	2	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Acerentulus_traegardhi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Acetanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acetanaerobacterium_elongatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acetitomaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acetitomaculum_ruminis	0	0	0	0	3	1	0	0	2	0	1	0	0	0	0	0	0	9	0	0	2
Acetivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Acetivibrio_cellulolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11
Acetivibrio_ethanolgignens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Acetivibrio_sp._Fer_16	0	0	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Acetobacter	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4
Acetobacter_cibinongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acetobacter_estunensis	0	0	1	0	0	1	0	0	1	2	3	0	0	0	0	0	0	0	0	0	8
Acetobacter_lovaniensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acetobacter_nitrogenifigens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
Acetobacter_pasteurianus	0	0	0	5	10	23	4	0	14	8	16	0	3	0	0	0	0	1	0	1	9
Acetobacter_pasteurianus_386B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter_pasteurianus_subsp._ascendens	0	0	0	1	3	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter_pasteurianus_subsp._paradoxus	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Acetobacter_senegalensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter_sp._B8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acetobacter_sp._S12909	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
