Node_Name	Adipose_Tissue_Control.rma6	AT+Mock-1:1000000.rma6	AT+Mock-1:100000.rma6	AT+Mock-1:10000.rma6	AT+Mock-1:1000.rma6	AT+Mock-1:100.rma6	AT+Mock-1:50-1.rma6	AT+Mock-1:50-2.rma6	AT+Mock-1:50-3.rma6	AT+Mock-1:50-4.rma6	AT+Mock-1:50.rma6	Hepatology-High-1.rma6	Hepatology-High-2.rma6	Hepatology-Low-1.rma6	Hepatology-Low-2.rma6	patient-1-AT.rma6	patient-1-blood.rma6	patient-1-stool.rma6	patient-2-AT.rma6	patient_2_blood.merged.rma6	patient-2-blood.rma6	patient-2-stool.rma6
Total_Count	3341	4052	2911	3731	3193	3264	4036	7	2988	4847	3700	3642	4754	4354	4334	4843	3307	20873	0	1416853	6696	21524
Acanthamoeba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acanthamoeba_lenticulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Acari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Acariformes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Acetobacter_pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acheta_domesticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Achromobacter_sp._A25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Acinetobacter_calcoaceticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acinetobacter_calcoaceticus/baumannii_complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acinetobacter_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Acinetobacter_sp._GIST-MLI60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Acinetobacter_sp._HIRFA32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Acipenser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acipenser_fulvescens	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Acipenser_schrenckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
Acmostomum_dioicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Acrocirridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acropsopilio_chilensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Actiniaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Actinobacillus_porcitonsillarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	31	0	44
Actinobacteria_<phylum>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3
Actinokineospora_cianjurensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Actinomycetales_bacterium_HPB40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Actinopteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
Actinosynnema_mirum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Actinotrocha_harmeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Adoratopsylla_intermedia_copha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aequorivita_sublithincola_DSM_14238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Aeromonas_encheleia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aeromonas_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aeromonas_sp._GLY-3205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Afipia_genosp._4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Afrosternophorus_sp._JM-2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Agabetes_acuductus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Aglaophamus_dibranchis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0
Agorius_constrictus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Agrobacterium_agile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Agrobacterium_rhizogenes	0	0	0	0	2	2	2	0	3	14	7	0	0	0	0	0	0	87	0	4308	0	32
Agrococcus_baldri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Agrococcus_sp._CZGSY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Agrococcus_sp._QSSC2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Agrococcus_sp._m8-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Agrococcus_terreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Alabidocarpus_intercalatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Albula_vulpes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0
Alcanivorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Alcanivorax_jadensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Alcyonacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Alcyonosyllis_hinterkircheri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Aliivibrio_fischeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
