Node_Name	AT_Mock_1_50_1.merged.fastq.rma6
Total_Count	4348816
Acetobacter	2
Acetobacter_estunensis	1
Acetobacter_pasteurianus	1
Acetobacter_pasteurianus_subsp._ascendens	3
Acetobacter_tropicalis	2
Acetobacteraceae	2
Acetobacterium_sp._enrichment_culture_clone_AP-FeEnrich9	3
Achromatium	2
Achromobacter	1
Achromobacter_sp._A25	1
Achromobacter_sp._HT18	3
Achromobacter_xylosoxidans	1
Achromobacter_xylosoxidans_C54	20
Acidaminococcus	1
Acidibacillus_ferrooxidans	4
Acidiphilium_sp._Ac-5	1
Acidiphilium_sp._SY24	1
Acidithiobacillus_sp._CASQ22	2
Acidithiobacillus_thiooxidans	3
Acinetobacter	1012
Acinetobacter_antiviralis	1
Acinetobacter_baumannii	131
Acinetobacter_baumannii_AB4857	1
Acinetobacter_baumannii_BJAB0868	1
Acinetobacter_calcoaceticus	10
Acinetobacter_calcoaceticus/baumannii_complex	47
Acinetobacter_gerneri	1
Acinetobacter_guillouiae	1
Acinetobacter_haemolyticus	4
Acinetobacter_johnsonii	8
Acinetobacter_junii	12
Acinetobacter_lwoffii	1
Acinetobacter_radioresistens	2
Acinetobacter_sp.	1
Acinetobacter_sp._11NS4	1
Acinetobacter_sp._230853	1
Acinetobacter_sp._ANC_3789	4
Acinetobacter_sp._HIRFA32	1
Acinetobacter_sp._HIRFA34	2
Acinetobacter_sp._J6	4
Acinetobacter_sp._JH250-12	1
Acinetobacter_sp._JL34	1
Acinetobacter_sp._KEB-7	1
Acinetobacter_sp._PL4	2
Acinetobacter_sp._QT15	3
Acinetobacter_sp._SD24438	1
Acinetobacter_sp._V1(2012)	2
Acinetobacter_sp._Ver3	1
Acinetobacter_sp._W-17	1
Acinetobacter_venetianus	1
Acinetobacter_venetianus_VE-C3	1
Actinobacillus_arthritidis	8
Actinobacillus_capsulatus	1
Actinobacillus_minor	1
Actinobacillus_minor_NM305	1
Actinobacillus_suis	1
Actinobacteria	693
Actinobacteria_<phylum>	1
Actinocatenispora	1
Actinomyces	96
Actinomyces_sp.	1
Actinomycetales_bacterium_BkSoiiA	3
Actinomycetospora_rhizophila	9
Actinoplanes	1
Actinopolyspora	1
Aeribacillus_pallidus	1
Aerococcaceae	18
Aerococcus	1
Aerococcus_urinaeequi	1
Aerococcus_vaginalis	10
Aeromonadaceae	1
Aeromonas	8
Aeromonas_caviae	2
Aeromonas_hydrophila	4
Aeromonas_salmonicida_subsp._smithia	1
Aeromonas_schubertii	6
Aeromonas_sp._3a	2
Aeromonas_sp._6A_14	4
Aeromonas_sp._A21	2
Aeromonas_sp._FPO2	3
Aeromonas_sp._Fars89D4	2
Aeromonas_sp._IGCAR-03/08	1
Aeromonas_sp._MR-64	4
Aeromonas_sp._MS24	1
Aeromonas_sp._Q2(2010)	2
Aeromonas_sp._REm-amp_25	2
Aeromonas_sp._REm-amp_82	1
Aeromonas_sp._c55(2012)	2
Aeromonas_veronii	2
Aeromonas_veronii_bv._sobria	7
Aestuariimicrobium_kwangyangense	1
Agathobaculum_desmolans	2
Aggregatibacter	3
Aggregatibacter_aphrophilus	3
Aggregatibacter_segnis_ATCC_33393	4
Agrobacterium	1
Agrobacterium_agile	2
Agrobacterium_sp._CBCN13	1
Agrobacterium_sp._IrT-JG14-33	1
Agrobacterium_sp._LKU2	1
Agrobacterium_sp._MSMC211	2
Agrobacterium_sp._PNS-1	3
Agrobacterium_tumefaciens	10
Agrobacterium_vitis_pv._musae	5
Agromyces_sp._NW-2013-Rh16	1
Aidingimonas_halophila	1
Albidovulum_xiamenense	1
Alcaligenes	1
Alcaligenes_faecalis_subsp._phenolicus	1
Alcaligenes_sp.	1
Alcanivorax_dieselolei	4
Alcanivorax_sp._MAR_14	4
Alcanivorax_sp._VKRKPb9	3
Alicyclobacillus_cycloheptanicus	1
Alicyclobacillus_sp._HRM5	1
Aliidiomarina_minuta	3
Aliivibrio_fischeri	6
Aliivibrio_wodanis	3
Alistipes_ihumii_AP11	1
Alkalibacillus_haloalkaliphilus	5
Alkalibacillus_sp._15-1	1
Alkalibacterium_psychrotolerans	1
Alkalimicrobium_pacificum	1
Alkalimonas_collagenimarina	2
Alkaliphilus_metalliredigens_QYMF	1
Alloiococcus_otitis	1
Alphaproteobacteria	15299
Alteribacillus_iranensis	2
Alteribacillus_persepolensis	1
Alteribacillus_sp._JSM_102045	3
Alteromonadaceae_EF3B-B802	4
Alteromonadaceae_bacterium_LD86	1
Alteromonadaceae_bacterium_RE1-1	1
Alteromonadales	3
Alteromonas	1
Alteromonas_sp.	2
Alteromonas_sp._BIII45	1
Alteromonas_sp._EZ45	2
Alvinella_pompejana_epibiont	1
Amaricoccus_veronensis	2
Aminobacter_ciceronei	8
Amorphomonas_oryzae	3
Amphibacillus	5
Amphibacillus_jilinensis_Y1	1
Amphibacillus_sp._SL117	6
Amphibacillus_xylanus	4
Amphibacillus_xylanus_NBRC_15112	21
Amphritea	1
Amphritea_sp._MA320	7
Amphritea_sp._MA471	12
Amphritea_spongicola	1
Anabaena	3
Anabaena_sp._XSPORK7B	1
Anaerobacillus_arseniciselenatis	2
Anaerobacillus_macyae	1
Anaerobacillus_sp._NB2006	1
Anaerobranca_horikoshii	1
Anaerocolumna_aminovalerica	2
Anaplasmataceae	1
Anaplasmataceae_bacterium_IS136	1
Ancalomicrobium_adetum	1
Ancylobacter_aquaticus	1
Aneurinibacillus_aneurinilyticus	2
Aneurinibacillus_aneurinilyticus_ATCC_12856	1
Aneurinibacillus_thermoaerophilus	20
Anoxybacillus_flavithermus	1
Anoxybacillus_flavithermus_subsp._yunnanensis_str._E13	3
Anoxybacillus_sp._527	2
Anoxybacillus_sp._A352b	1
Anoxybacillus_sp._D392	1
Anoxybacillus_sp._FB5	1
Anoxybacillus_sp._NBY46	8
Anoxybacillus_sp._SCSIO_15096	1
Antarctic_bacterium_FI_8-5	12
Antarctic_bacterium_R-8971	4
Antarctic_saline_lake_bacterium_33	1
Aquabacterium_sp._Aqua1a	1
Aquamicrobium_aerolatum	1
Aquamonas_haywardensis	1
Aquaspirillum	1
Aquaspirillum_serpens	2
Aquaspirillum_sp._feline_oral_taxon_082	1
Archangium_sp._565	1
Arcobacter_skirrowii_CCUG_10374	2
Arctic_sea_ice_bacterium_ARK10195	9
Arctic_seawater_bacterium_R7102	1
Arsenophonus	5
Arsenophonus_endosymbiont_of_Aphis_craccivora	1
Arsenophonus_endosymbiont_of_Aphis_sp.	1
Arsenophonus_endosymbiont_of_Tetraleurodes_mori	1
Arsenophonus_nasoniae	17
Arsenophonus_symbiont_of_Stomaphis_fagi	1
Arthrobacter_pascens	1
Arthrobacter_sp._'SMCC_ZAT002'	1
Arthrobacter_sp._IARI-L-100	1
Arthrobacter_sp._MH144	1
Arthrobacter_sp._NBGD36	1
Arthrobacter_sp._RH-19	5
Arthrobacter_sp._VP3	1
Arthrobacter_sp._bA27(2011)	1
Arthrobacter_sp._enrichment_culture_clone_ts0222R	1
Asaia_sp._Gb16	2
Atlantibacter_hermannii	11
Atopobium_vaginae	3
Atopococcus_tabaci	2
Atribacteria_bacterium_JGI_0000014-F07	2
Atribacteria_bacterium_JGI_0000079-L04	3
Aureibacillus_halotolerans	1
Averyella_dalhousiensis	6
Avibacterium_gallinarum	8
Azoarcus_sp.	1
Azomonas_insignis	1
Azonexus_sp._RV3	1
Azorhizobium_doebereinerae	1
Azorhizobium_sp._SPC_SN1	5
Azospira_sp._enrichment_culture_clone_MWE_C6	1
Azospirillum	1
Azospirillum_brasilense	10
Azospirillum_canadense	2
Azospirillum_lipoferum	3
Azospirillum_melinis	2
Azospirillum_sp.	1
Azospirillum_sp._M2T2B2	2
Azospirillum_sp._TS10	7
Azospirillum_zeae	2
Azotobacter	4
Azotobacter_chroococcum	51
Azotobacter_group	1
Azotobacter_salinestris	5
Azotobacter_sp._HMS1	1
Azotobacter_vinelandii	7
BEV_proteobacterium	11
Bacillaceae	360
Bacillaceae_bacterium_11_St_4	1
Bacillaceae_bacterium_6_St_9	1
Bacillaceae_bacterium_BL-159	1
Bacillaceae_bacterium_BL-87	1
Bacillaceae_bacterium_KVD-unk-05	3
Bacillaceae_bacterium_P241	1
Bacillaceae_bacterium_PaH1.39a	29
Bacillales	49627
Bacillales_bacterium_CCUG_49712	3
Bacilli	58156
Bacillus	10494
Bacillus_acidiceler	2
Bacillus_acidicola	24
Bacillus_aerius	1
Bacillus_alkalisediminis	1
Bacillus_alkalitelluris	1
Bacillus_altitudinis	27
Bacillus_amyloliquefaciens	71
Bacillus_amyloliquefaciens_DSM_7	2
Bacillus_amyloliquefaciens_group	2
Bacillus_anthracis	166
Bacillus_anthracis_str._CDC_684	6
Bacillus_anthracis_str._Turkey32	5
Bacillus_anthracis_str._Vollum	6
Bacillus_aquimaris	17
Bacillus_arbutinivorans	1
Bacillus_aryabhattai	31
Bacillus_asahii	13
Bacillus_atrophaeus	7
Bacillus_aurantiacus_DSM_18675	1
Bacillus_azotoformans_MEV2011	1
Bacillus_badius	3
Bacillus_baekryungensis	3
Bacillus_benzoevorans	1
Bacillus_bingmayongensis	7
Bacillus_bombysepticus_str._Wang	1
Bacillus_butanolivorans	1
Bacillus_cereus	158931
Bacillus_cereus_03BB102	6
Bacillus_cereus_03BB108	7
Bacillus_cereus_AH820	4
Bacillus_cereus_ATCC_10987	2
Bacillus_cereus_D17	60
Bacillus_cereus_E33L	6
Bacillus_cereus_FRI-35	15
Bacillus_cereus_G9241	1
Bacillus_cereus_G9842	4
Bacillus_cereus_Q1	2
Bacillus_cereus_VD115	3
Bacillus_cereus_W	3
Bacillus_cereus_biovar_anthracis_str._CI	3
Bacillus_cereus_group	2907
Bacillus_chagannorensis	1
Bacillus_circulans	35
Bacillus_clausii	3
Bacillus_coagulans	11
Bacillus_coagulans_36D1	5
Bacillus_coagulans_DSM_1_=_ATCC_7050	2
Bacillus_cytotoxicus_NVH_391-98	2
Bacillus_decolorationis	1
Bacillus_djibelorensis	11
Bacillus_drentensis	9
Bacillus_endophyticus	17
Bacillus_farraginis	2
Bacillus_fastidiosus	2
Bacillus_fengqiuensis	1
Bacillus_firmus	27
Bacillus_firmus_DS1	17
Bacillus_flexus	49
Bacillus_foraminis	6
Bacillus_fumarioli	3
Bacillus_gaemokensis	1
Bacillus_halodurans	21
Bacillus_halotolerans	2
Bacillus_herbersteinensis	12
Bacillus_horikoshii	5
Bacillus_horneckiae	4
Bacillus_infantis	1
Bacillus_infernus	3
Bacillus_isabeliae	3
Bacillus_kochii	1
Bacillus_korlensis	2
Bacillus_lentus	4
Bacillus_licheniformis	140
Bacillus_litoralis	1
Bacillus_lonarensis	1
Bacillus_longisporus	5
Bacillus_mannanilyticus	9
Bacillus_marisflavi	15
Bacillus_marmarensis_DSM_21297	1
Bacillus_megaterium	135
Bacillus_megaterium_NBRC_15308_=_ATCC_14581	2
Bacillus_megaterium_WSH-002	6
Bacillus_mojavensis	15
Bacillus_mycoides	37
Bacillus_mycoides_KBAB4	1
Bacillus_nealsonii	1
Bacillus_niabensis	5
Bacillus_niacini	22
Bacillus_novalis	4
Bacillus_oceanisediminis	2
Bacillus_okuhidensis	1
Bacillus_oleronius	1
Bacillus_oshimensis	2
Bacillus_panaciterrae	2
Bacillus_pocheonensis	1
Bacillus_pseudofirmus	7
Bacillus_pseudomycoides	16
Bacillus_psychrosaccharolyticus	1
Bacillus_pumilus	119313
Bacillus_racemilacticus	2
Bacillus_rhizosphaerae	1
Bacillus_safensis	76
Bacillus_selenatarsenatis	1
Bacillus_senegalensis	4
Bacillus_seohaeanensis	4
Bacillus_shackletonii	1
Bacillus_simplex	27
Bacillus_smithii	2
Bacillus_soli	5
Bacillus_sonorensis	3
Bacillus_sp._(in:_Bacteria)	32
Bacillus_sp._0711P9-1	11
Bacillus_sp._095414	1
Bacillus_sp._1-1(2008)	4
Bacillus_sp._12073	2
Bacillus_sp._130	1
Bacillus_sp._13983	2
Bacillus_sp._15F-III	3
Bacillus_sp._17(2011)	1
Bacillus_sp._1P07AD	3
Bacillus_sp._1P07SB	1
Bacillus_sp._1P08AB	1
Bacillus_sp._1P09AB	6
Bacillus_sp._2044	1
Bacillus_sp._210_34	3
Bacillus_sp._210_35	3
Bacillus_sp._210_38	5
Bacillus_sp._210_57	12
Bacillus_sp._22(2008)	3
Bacillus_sp._22-8A	1
Bacillus_sp._22-9	1
Bacillus_sp._2BSG-10TSA-10	3
Bacillus_sp._2BSG-10TSA-2	2
Bacillus_sp._2BSG-MG-26	1
Bacillus_sp._2CBS53	6
Bacillus_sp._2P01SA	2
Bacillus_sp._30	1
Bacillus_sp._3044	1
Bacillus_sp._3092	7
Bacillus_sp._3539BRRJ	1
Bacillus_sp._38_JDE-2009	3
Bacillus_sp._3EC2B1	3
Bacillus_sp._4(2010)	3
Bacillus_sp._4830	1
Bacillus_sp._4DwGM	1
Bacillus_sp._5(2008)	3
Bacillus_sp._5.5LF14BP	5
Bacillus_sp._5105	1
Bacillus_sp._58-6	9
Bacillus_sp._6056	1
Bacillus_sp._6067	1
Bacillus_sp._6071	3
Bacillus_sp._64	1
Bacillus_sp._7B-832	1
Bacillus_sp._7B-838	3
Bacillus_sp._87	1
Bacillus_sp._88D	1
Bacillus_sp._95	1
Bacillus_sp._A-09	2
Bacillus_sp._A-5A	4
Bacillus_sp._A2	1
Bacillus_sp._A2_ZZ-2008	3
Bacillus_sp._A3(2011)	2
Bacillus_sp._A3-2	7
Bacillus_sp._A391a	3
Bacillus_sp._AB263f	6
Bacillus_sp._AB270f	5
Bacillus_sp._ABPL_106	3
Bacillus_sp._ANA2	16
Bacillus_sp._ANIOT10	1
Bacillus_sp._AO1	6
Bacillus_sp._APCMST-RS3	1
Bacillus_sp._AS-S01a	1
Bacillus_sp._ASR5	1
Bacillus_sp._AT43-2	1
Bacillus_sp._AZO_6	2
Bacillus_sp._Am_08	3
Bacillus_sp._Am_12	4
Bacillus_sp._Am_13	2
Bacillus_sp._Antarctic_IS13	9
Bacillus_sp._Asd1	3
Bacillus_sp._B-15	1
Bacillus_sp._B-23269	1
Bacillus_sp._B-23280	6
Bacillus_sp._B-23281	2
Bacillus_sp._B-23282	7
Bacillus_sp._B-23283	4
Bacillus_sp._B-23285	2
Bacillus_sp._B-6	1
Bacillus_sp._B1(2014)	2
Bacillus_sp._B10(2008)	1
Bacillus_sp._B2(2014)	2
Bacillus_sp._B20	4
Bacillus_sp._B21	2
