16S Data	FullNT
Bacillus_cereus	Actinobacteria
Bacillus_cereus_group	 Alphaproteobacteria
Blastomyces_dermatitidis_ER-3    	 Bacillaceae                       
Clostridium	 Bacillales
Escherichia_coli	 Bacilli
Klebsiella_pneumoniae         	 Bacillus                          
Salmonella_enterica_subsp._enterica	Bacillus_cereus_group
Streptococcus	 Bacteria
Streptococcus_mutans              	 Clostridium
Streptococcus_mutans_NN2025	Enterobacteriaceae
Streptococcus_thermophilus 	Escherichia
	Escherichia_coli                  
	Firmicutes
	Gammaproteobacteria
	Lactobacillales                   
	Negativicutes
	Neisseria
	Proteobacteria                    
	Pseudomonas
	Ralstonia_solanacearum
	Rhodobacter                       
	Rhodobacter_sphaeroides
	Rhodobacteraceae
	Staphylococcus                    
	Staphylococcus_aureus
	Staphylococcus_epidermidis
	Streptococcaceae                  
	Streptococcus
	Streptococcus_mutans
	bacterium                         
	environmental_samples_<Bacteria>
	uncultured_Bacteroidetes_bacterium
	uncultured_Firmicutes_bacterium   
	uncultured_Staphylococcus_sp.
	uncultured_bacterium
	uncultured_gamma_proteobacterium 
