Node	AT_Mock_1_10000.merged.fastq.gz.noHG19.rma6	AT_Mock_1_100.merged.fastq.gz.noHG19.rma6	Hepatology_High_2.merged.fastq.gz.noHG19.rma6	Hepatology_Low_2.merged.fastq.gz.noHG19.rma6	Hepatology_Low_1.merged.fastq.gz.noHG19.rma6	patient_1_AT.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_3.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_4.merged.fastq.gz.noHG19.rma6	AT_Mock_1_1000000.merged.fastq.gz.noHG19.rma6	Adipose_Tissue_Control.merged.fastq.gz.noHG19.rma6	patient_1_stool.merged.fastq.gz.noHG19.rma6	Hepatology_High_1.merged.fastq.gz.noHG19.rma6	patient_2_AT.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50.merged.fastq.gz.noHG19.rma6	patient_1_blood.merged.fastq.gz.noHG19.rma6	patient_2_stool.merged.fastq.gz.noHG19.rma6	AT_Mock_1_100000.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_2.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_1.merged.fastq.gz.noHG19.rma6	AT_Mock_1_1000.merged.fastq.gz.noHG19.rma6	patient_2_blood.merged.fastq.gz.noHG19.rma6
Full_NT	3255296	5267296	2742158	2689962	2572458	1986360	5771194	5144390	2440571	2028469	7677345	2391159	1638267	5676888	2990827	10542231	2367032	3979	4235015	4334674	3185060
Silva	834689	1520126	4577662	1251280	1229533	1618191	3932193	2139321	3852269	3210899	1423877	7657300	2383	1168807	1421248	5418087	4176794	216706	4348816	1405069	1086898
Fraction 16S	0,256409555	0,288597033	1,669364785	0,465166422	0,477960379	0,814651423	0,681348262	0,415855135	1,578429392	1,582917461	0,185464767	3,20233828	0,001454586	0,205888684	0,475202344	0,513941214	1,764570145	54,46242775	1,026871451	0,324146406	0,34124883
																					
																					
																					
Median	0,477960379																				
Standard.P	11,44925022																				
Standard.V	11,73199033																				
Mean	3,368297824															AT_Mock_1_100000.merged.fastq.gz.noHG19.rma6		AT_Mock_1_50_2.merged.fastq.gz.noHG19.rma6		AT_Mock_1_50_1.merged.fastq.gz.noHG19.rma6	
																Clostridium_oceanicum	1	Klebsiella_pneumoniae	32	Shigella_sonnei_3233-85	4
																Streptococcus_anginosus_C238	2	Blastomyces_dermatitidis_ER-3	1	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120009	5
References Lacking in FullNT that drive the outliers								AT_Mock_1_1000000.merged.fastq.gz.noHG19.rma6		Adipose_Tissue_Control.merged.fastq.gz.noHG19.rma6		Hepatology_High_1.merged.fastq.gz.noHG19.rma6				Streptococcus_agalactiae_18RS21	1	Streptococcus_mutans_NN2025	1	Neisseria_sp._C6I7	1
