fileName	fullNT	fullBacFullVir	fullBacFullVir95	16SDB
Acidaminococcus_intestini_RyC-MR95	-	-	Acidaminococcus_intestini_RyC-MR95	-
Actinobacteria	-	Actinobacteria	Actinobacteria	Actinobacteria
Alphaproteobacteria	-	Alphaproteobacteria	Alphaproteobacteria	-
Amniota	Amniota	Amniota	-	-
Aotus_nancymaae	-	Aotus_nancymaae	-	-
Arachis_ipaensis	Arachis_ipaensis	-	-	-
Arthropoda	Arthropoda	-	-	-
Aspergillus_fumigatus_Af293	-	-	Aspergillus_fumigatus_Af293	-
Bacillales	Bacillales	-	Bacillales	Bacillales
Bacilli	Bacilli	Bacilli	-	-
Bacillus	Bacillus	Bacillus	-	-
Bacillus_cereus	Bacillus_cereus	-	-	-
Bacillus_pumilus	Bacillus_pumilus	-	-	-
Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Bacteroidales	-	-	Bacteroidales	Bacteroidales
Bacteroides	-	-	Bacteroides	Bacteroides
Bacteroides_dorei	-	-	Bacteroides_dorei	Bacteroides_dorei
Bacteroides_helcogenes_P_36-108	-	-	Bacteroides_helcogenes_P_36-108	-
Bacteroides_vulgatus_ATCC_8482	-	-	Bacteroides_vulgatus_ATCC_8482	Bacteroides_vulgatus_ATCC_8482
Bacteroidetes	-	-	Bacteroidetes	-
Betaproteobacteria	-	-	Betaproteobacteria	-
Bilateria	-	Bilateria	Bilateria	Bilateria
Boreoeutheria	-	Boreoeutheria	-	-
Brassica	Brassica	-	-	-
Burkholderiales	-	-	Burkholderiales	Burkholderiales
Capsicum_annuum_var._glabriusculum	Capsicum_annuum_var._glabriusculum	-	-	-
Chordata	-	Chordata	-	-
Cleome	Cleome	-	-	-
Cloning_vector_pFosill-4	-	Cloning_vector_pFosill-4	-	-
Clostridiales	-	-	Clostridiales	Clostridiales
Clostridium	-	-	Clostridium	Clostridium
Comamonadaceae	-	-	Comamonadaceae	-
Cupriavidus_necator	Cupriavidus_necator	-	-	-
Cyanobacteria	Cyanobacteria	-	-	-
Cyprinus_carpio	-	Cyprinus_carpio	-	-
Dialister_pneumosintes	-	-	Dialister_pneumosintes	-
Digenea	-	Digenea	-	-
Diptera	Diptera	-	-	-
Eimeria_acervulina	-	Eimeria_acervulina	-	-
Enterobacterales	-	-	Enterobacterales	-
Enterobacteriaceae	-	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
Enterobius_vermicularis	-	-	Enterobius_vermicularis	Enterobius_vermicularis
Escherichia_coli	-	Escherichia_coli	Escherichia_coli	Escherichia_coli
Escherichia_virus_phiX174	-	Escherichia_virus_phiX174	-	-
Euarchontoglires	-	Euarchontoglires	-	-
Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota
Euteleostomi	Euteleostomi	Euteleostomi	-	-
Faecalibacterium_prausnitzii	-	-	Faecalibacterium_prausnitzii	Faecalibacterium_prausnitzii
Firmicutes	-	-	Firmicutes	Firmicutes
Gammaproteobacteria	-	Gammaproteobacteria	Gammaproteobacteria	-
Globodera_pallida	Globodera_pallida	-	-	-
Gnathostomata	Gnathostomata	Gnathostomata	-	-
Gossypium_arboreum	Gossypium_arboreum	-	-	-
Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo_sapiens
Klebsiella_pneumoniae	Klebsiella_pneumoniae	-	-	-
Lactobacillales	-	Lactobacillales	Lactobacillales	Lactobacillales
Lactobacillus	-	-	Lactobacillus	-
Lactobacillus_plantarum	Lactobacillus_plantarum	-	-	-
Lactobacillus_ruminis_ATCC_27782	-	-	Lactobacillus_ruminis_ATCC_27782	-
Macaca_fascicularis	-	Macaca_fascicularis	-	-
Mammalia	Mammalia	-	-	-
Mesangiospermae	Mesangiospermae	Mesangiospermae	-	-
Microbacteriaceae	-	-	Microbacteriaceae	Microbacteriaceae
Mus_musculus	-	Mus_musculus	-	-
Myotis_brandtii	Myotis_brandtii	-	-	-
Nelumbo_nucifera	Nelumbo_nucifera	-	-	-
Neognathae	-	Neognathae	-	-
Nicotiana	Nicotiana	-	-	-
Nicotiana_otophora	Nicotiana_otophora	-	-	-
Odocoileus_virginianus	-	Odocoileus_virginianus	-	-
Opisthokonta	-	Opisthokonta	Opisthokonta	-
Papio_anubis	-	Papio_anubis	-	-
Pentapetalae	Pentapetalae	Pentapetalae	-	-
Phaseolus	Phaseolus	-	-	-
Plasmodium_vivax_Sal-1	-	-	Plasmodium_vivax_Sal-1	-
Prevotella	-	-	Prevotella	Prevotella
Prevotella_enoeca	-	-	Prevotella_enoeca	-
Prevotella_fusca_JCM_17724	-	-	Prevotella_fusca_JCM_17724	-
Prevotella_intermedia	-	-	Prevotella_intermedia	-
Prevotella_melaninogenica	-	-	Prevotella_melaninogenica	-
Proteobacteria	-	-	Proteobacteria	Proteobacteria
Protopolystoma_xenopodis	-	Protopolystoma_xenopodis	-	-
Pseudomonas	Pseudomonas	Pseudomonas	Pseudomonas	Pseudomonas
Pseudomonas_aeruginosa	-	-	Pseudomonas_aeruginosa	Pseudomonas_aeruginosa
Rhodobacter	-	Rhodobacter	-	-
Rhodobacter_sphaeroides	Rhodobacter_sphaeroides	-	Rhodobacter_sphaeroides	Rhodobacter_sphaeroides
Rhodobacteraceae	-	-	Rhodobacteraceae	Rhodobacteraceae
Roseburia_hominis_A2-183	-	-	Roseburia_hominis_A2-183	-
Saccostrea_glomerata	Saccostrea_glomerata	-	-	-
Schistosoma_mansoni	-	-	Schistosoma_mansoni	-
Selenomonas_ruminantium_subsp._lactilytica_TAM6421	-	-	Selenomonas_ruminantium_subsp._lactilytica_TAM6421	Selenomonas_ruminantium_subsp._lactilytica_TAM6421
Selenomonas_sputigena_ATCC_35185	-	-	Selenomonas_sputigena_ATCC_35185	-
Shigella_phage_SHFML-11	-	-	Shigella_phage_SHFML-11	Shigella_phage_SHFML-11
Sophophora	Sophophora	-	-	-
Spirometra_erinaceieuropaei	-	Spirometra_erinaceieuropaei	-	-
Staphylococcus	-	Staphylococcus	Staphylococcus	Staphylococcus
Staphylococcus_aureus	-	Staphylococcus_aureus	Staphylococcus_aureus	Staphylococcus_aureus
Staphylococcus_epidermidis	-	-	Staphylococcus_epidermidis	Staphylococcus_epidermidis
Staphylococcus_saprophyticus_subsp._saprophyticus	Staphylococcus_saprophyticus_subsp._saprophyticus	-	-	-
Streptococcus	Streptococcus	Streptococcus	Streptococcus	Streptococcus
