TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus_Af293;_NC_007197.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS060	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS060	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS058	Bacillus_cereus;_CP008712.1;_TOPREFPERCREADS024	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS023	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS022	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS022	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS019	Bacillus_cereus_Q1;_CP000227.1;_TOPREFPERCREADS018
Bacillus_cereus_ATCC_10987	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS084	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS081	Bacillus_thuringiensis_serovar_finitimus_YBT-020;_CP002508.1;_TOPREFPERCREADS072	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS069	Bacillus_sp._ABP14;_CP017016.1;_TOPREFPERCREADS055	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS053	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS050	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS050	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS050
Bacillus_thuringiensis_DAR_81934	Homo_sapiens;_NC_000001.11;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1;_CM000756.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis_serovar_pondicheriensis_BGSC_4BA1	Bacillus_thuringiensis_serovar_pondicheriensis_BGSC_4BA1;_CM000755.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3;_EQ999974.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	Burkholderia_pseudomallei;_CP009210.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei_1710a	Homo_sapiens;_NC_000021.9;_TOPREFPERCREADS100	Burkholderia_pseudomallei_1710a;_GG704885.1;_TOPREFPERCREADS050	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_psittaci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_trachomatis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium	Clostridium_saccharoperbutylacetonicum_N1-4(HMT);_CP004121.1;_TOPREFPERCREADS100	Clostridium_beijerinckii_NCIMB_8052;_CP000721.1;_TOPREFPERCREADS100	Clostridium_saccharoperbutylacetonicum;_CP016087.1;_TOPREFPERCREADS100	Clostridium_saccharobutylicum_DSM_13864;_CP006721.1;_TOPREFPERCREADS100	Clostridium_saccharobutylicum;_CP016086.1;_TOPREFPERCREADS100	Clostridium_saccharobutylicum;_CP016089.1;_TOPREFPERCREADS100	Clostridium_saccharobutylicum;_CP016091.1;_TOPREFPERCREADS100	Clostridium_saccharobutylicum;_CP016092.1;_TOPREFPERCREADS100	Clostridium_beijerinckii_ATCC_35702;_CP006777.1;_TOPREFPERCREADS100	Clostridium_beijerinckii;_CP016090.1;_TOPREFPERCREADS100
Clostridium_beijerinckii	Clostridium_beijerinckii_NCIMB_8052;_CP000721.1;_TOPREFPERCREADS100	Clostridium_beijerinckii_ATCC_35702;_CP006777.1;_TOPREFPERCREADS100	Clostridium_beijerinckii_NRRL_B-598;_CP011966.2;_TOPREFPERCREADS068	Clostridium_beijerinckii;_CP016090.1;_TOPREFPERCREADS066	Clostridium_beijerinckii;_CP010086.2;_TOPREFPERCREADS062	NA	NA	NA	NA	NA
