TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	Bacillus_cereus_ATCC_4342;_CM000721.1;_TOPREFPERCREADS100	Bacillus_cereus_D17;_CP009300.1;_TOPREFPERCREADS100	Bacillus_anthracis;_CP007618.1;_TOPREFPERCREADS100	Bacillus_mycoides;_CP009692.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._V770-NP-1R;_CP009598.1;_TOPREFPERCREADS100	Bacillus_cereus_G9241;_CP009590.1;_TOPREFPERCREADS100	Bacillus_anthracis;_CP009700.1;_TOPREFPERCREADS100	Bacillus_thuringiensis;_CP013000.1;_TOPREFPERCREADS100	Bacillus_thuringiensis;_CP010088.1;_TOPREFPERCREADS100	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS100
Bacillus_thuringiensis	Bacillus_thuringiensis;_CP013273.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3;_EQ999974.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	Bordetella_flabilis;_CP016172.1;_TOPREFPERCREADS100	Bordetella_genomosp._8;_CP021108.1;_TOPREFPERCREADS100	Bordetella_bronchialis;_CP016171.1;_TOPREFPERCREADS100	Bordetella_bronchialis;_CP016170.1;_TOPREFPERCREADS100	Bordetella_genomosp._9;_CP021110.1;_TOPREFPERCREADS100	Bordetella_genomosp._9;_CP021109.1;_TOPREFPERCREADS100	Bordetella_sp._H567;_CP012334.1;_TOPREFPERCREADS100	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	Bordetella_petrii;_AM902716.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	Borrelia_recurrentis_A1;_CP000993.1;_TOPREFPERCREADS100	Borreliella_burgdorferi_B31;_AE000783.1;_TOPREFPERCREADS000	Borrelia_duttonii_Ly;_CP000976.1;_TOPREFPERCREADS000	Borreliella_chilensis;_CP009910.1;_TOPREFPERCREADS000	Borreliella_bavariensis_PBi;_CP000013.1;_TOPREFPERCREADS000	Borreliella_burgdorferi;_CP019916.1;_TOPREFPERCREADS000	Borreliella_burgdorferi;_CP019844.1;_TOPREFPERCREADS000	Borreliella_burgdorferi;_CP019767.1;_TOPREFPERCREADS000	Borreliella_burgdorferi;_CP017201.1;_TOPREFPERCREADS000	Borreliella_valaisiana_Tom4006;_CP009117.1;_TOPREFPERCREADS000
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	Brucella_suis_VBI22;_CP003128.1;_TOPREFPERCREADS100	Brucella_abortus_bv._9_str._C68;_CP007705.1;_TOPREFPERCREADS100	Brucella_melitensis_M28;_CP002459.1;_TOPREFPERCREADS100	Brucella_abortus_bv._6_str._870;_CP007709.1;_TOPREFPERCREADS100	Brucella_pinnipedialis;_CP007743.1;_TOPREFPERCREADS100	Brucella_sp._141012304;_LT605585.1;_TOPREFPERCREADS100	Brucella_abortus_104M;_CP009625.1;_TOPREFPERCREADS100	Brucella_vulpis;_LN997863.1;_TOPREFPERCREADS100	Brucella_abortus_bv._2_str._86/8/59;_CP007765.1;_TOPREFPERCREADS100	Brucella_ceti_TE10759-12;_CP006896.1;_TOPREFPERCREADS100
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	Burkholderia_mallei_SAVP1;_CP000526.1;_TOPREFPERCREADS100	Burkholderia_mallei_NCTC_10247;_CP000548.1;_TOPREFPERCREADS100	Burkholderia_mallei_NCTC_10247;_CP007802.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_7894;_CP009535.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR435;_CM003019.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR435;_CM003020.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR62;_CP009235.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR62;_CP009234.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_BPC006;_CP003782.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_BPC006;_CP003781.1;_TOPREFPERCREADS100
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_psittaci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_trachomatis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
