TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis_ER-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_psittaci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_trachomatis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium	Clostridium;_CM000604.1;_TOPREFPERCREADS100	Clostridium_argentinense;_CP014176.1;_TOPREFPERCREADS042	Clostridium_autoethanogenum_DSM_10061;_CP006763.1;_TOPREFPERCREADS014	Clostridium_autoethanogenum_DSM_10061;_CP012395.1;_TOPREFPERCREADS014	Clostridium_ljungdahlii_DSM_13528;_CP001666.1;_TOPREFPERCREADS014	Clostridium_tyrobutyricum;_CP014170.1;_TOPREFPERCREADS014	NA	NA	NA	NA
Clostridium_aceticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_argentinense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_bornimense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_botulinum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_botulinum_BKT015925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_botulinum_E3_str._Alaska_E43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_butyricum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_cochlearium	Clostridium_cochlearium;_LT906477.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_formicaceticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_kluyveri	Clostridium_kluyveri_DSM_555;_CP000673.1;_TOPREFPERCREADS100	Clostridium_kluyveri_NBRC_12016;_AP009049.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_pasteurianum_BC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_perfringens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_perfringens_F262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sp._BNL1100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sp._SY8519	Clostridium_sp._SY8519;_AP012212.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sporogenes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_taeniosporum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tetani	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tetani_12124569	Clostridium_tetani_12124569;_HG530135.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tetani_E88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tyrobutyricum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coccidioides_immitis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coccidioides_posadasii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium_diphtheriae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cowpox-Vaccinia_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cowpox_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coxiella_burnetii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cryptococcus_neoformans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynomolgus_Epstein-Barr_Virus_A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynomolgus_Epstein-Barr_Virus_Si-IIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynomolgus_Epstein-Barr_Virus_TsB-B6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enterobius_vermicularis	Enterobius_vermicularis;_LM417335.1;_TOPREFPERCREADS100	Toxoplasma_gondii_ME49;_NW_017385167.1;_TOPREFPERCREADS100	Coccidioides_immitis_RS;_NW_004504312.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA
Epstein-barr_virus_strain_ag876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
