TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus_Af293;_NC_007198.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	Bacillus_anthracis_str._CDC_684;_CP001215.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._Ames;_AE016879.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._A16;_CP001970.2;_TOPREFPERCREADS100	Bacillus_anthracis_str._SVA11;_CP006742.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._Vollum;_CP007666.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._'Ames_Ancestor';_AE017334.2;_TOPREFPERCREADS100	Bacillus_anthracis_str._A0248;_CP001598.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._Turkey32;_CP009315.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._A16R;_CP001974.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._H9401;_CP002091.1;_TOPREFPERCREADS100
Bacillus_cereus	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS063	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS061	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS060	Bacillus_cereus;_CP008712.1;_TOPREFPERCREADS027	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS025	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS023	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS023	Bacillus_cereus_Q1;_CP000227.1;_TOPREFPERCREADS022	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS020
Bacillus_cereus_ATCC_10987	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_BDRD-ST26	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_F	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS071	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS070	Bacillus_thuringiensis_serovar_finitimus_YBT-020;_CP002508.1;_TOPREFPERCREADS062	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS056	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS050	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS050	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS049	Bacillus_cereus_Q1;_CP000227.1;_TOPREFPERCREADS048	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS046
Bacillus_thuringiensis	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_thuringiensis_serovar_morrisoni;_CP010577.1;_TOPREFPERCREADS050	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS050	Bacillus_thuringiensis;_CP014282.1;_TOPREFPERCREADS050	Bacillus_thuringiensis;_CP014847.1;_TOPREFPERCREADS050	Bacillus_thuringiensis;_CP021061.1;_TOPREFPERCREADS050	Bacillus_thuringiensis;_CP020002.1;_TOPREFPERCREADS050	Bacillus_thuringiensis;_CP020754.1;_TOPREFPERCREADS050	Bacillus_thuringiensis_Bt407;_CP003889.1;_TOPREFPERCREADS050	Bacillus_thuringiensis_Bt407;_CM000747.1;_TOPREFPERCREADS050
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1;_CM000756.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3;_EQ999978.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei_1710a	Homo_sapiens;_NC_000021.9;_TOPREFPERCREADS100	Burkholderia_pseudomallei_1710a;_GG704880.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_psittaci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
